State,Temp_Min,Temp_Max,Oxy_Min,Oxy_Max,pH_Min,pH_Max,Con_Min,Con_Max,BOD_Min,BOD_Max,N_Min,N_Max,FC_Min,FC_Max,TC_Min,TC_Max
KERALA,22.0,31.0,6.2,8.0,6.5,7.3,68,201,1.0,1.8,0.3,0.3,8,70,31,120
WEST BENGAL,16.0,36.0,5.3,9.7,7.1,8.4,268,4223,1.4,2.9,0.32,0.99,5400,54000,14000,79000
WEST BENGAL,20.0,35.0,7.5,9.1,7.0,8.2,97,251,1.5,2.0,0.3,2.3,1400,2200,2100,3300
ODISHA,20.0,33.0,2.8,7.1,6.7,7.5,162,430,2.8,5.7,0.32,4.4,3300,92000,9200,160000
MADHYA PRADESH,18.0,32.0,6.9,7.9,7.0,8.0,290,640,1.6,2.7,0.3,2.5,2,7,18,28
WEST BENGAL,20.0,34.0,5.0,7.0,8.0,8.6,504,16200,1.1,2.8,0.3,0.63,4000,4900,7000,11000
KARNATAKA,24.0,28.0,7.7,9.3,8.4,8.5,461,604,1.0,7.0,0.0,4.8,470,1400,3500,7000
MADHYA PRADESH,19.0,32.0,7.2,9.2,7.6,7.9,266,428,1.0,2.1,0.33,0.36,2,2,26,49
ASSAM,19.0,34.0,5.2,5.6,6.8,7.6,132,146,2.0,2.7,0.6,1.6,600,910,1100,2100
JHARKHAND,11.0,26.0,3.3,4.3,6.5,6.7,308,1256,2.0,2.8,0.0,0.0,3990,70795,6708,367459
CHHATTISGARH,24.0,29.0,2.2,7.2,7.2,7.9,419,518,2.0,28.0,0.48,1.05,560,560,240,1100
MADHYA PRADESH,23.0,32.0,7.2,9.0,7.6,8.1,360,415,1.0,2.1,0.34,1.18,2,2,21,48
KARNATAKA,22.0,31.0,4.4,6.4,7.6,8.5,290,660,3.0,6.0,1.2,3.9,120,410,2100,3500
KARNATAKA,24.0,27.0,0.3,6.1,6.0,7.1,280,976,4.0,72.0,0.9,3.74,14,4900,170,35000
BIHAR,10.0,31.0,7.3,9.5,7.5,8.4,222,365,1.0,2.6,0.3,0.3,450,28000,3300,92000
MADHYA PRADESH,17.0,33.0,6.3,7.9,7.2,7.9,312,668,2.2,3.0,3.48,6.48,11,63,120,430
ASSAM,21.0,32.0,5.0,10.5,7.0,7.9,136,172,2.0,2.6,0.7,2.0,300,940,720,2000
JHARKHAND,9.0,24.0,3.8,4.9,6.5,6.6,308,1256,2.1,3.2,0.0,0.0,3990,70795,6708,367459
KARNATAKA,19.0,29.0,6.3,7.3,7.8,8.4,159,358,1.0,3.0,0.32,2.3,65,120,700,1200
ASSAM,21.0,33.0,5.2,8.5,6.6,7.3,140,258,1.9,2.5,0.6,1.4,360,910,910,2000
WEST BENGAL,20.0,29.0,6.0,9.0,7.3,7.9,110,179,1.1,2.4,0.3,0.3,800,3400,1700,17000
HARYANA,17.5,27.5,7.9,8.8,8.0,8.4,211,358,1.0,15.0,0.53,0.89,110,4900,790,92000
UTTAR PRADESH,20.5,30.7,7.2,8.9,7.4,8.4,260,297,2.6,3.0,0.61,0.72,610,920,1500,2500
HIMACHAL PRADESH,20.0,24.3,9.0,10.5,8.0,8.4,134,518,1.0,9.0,0.49,1.32,7,7800,170,33000
ODISHA,20.0,29.0,6.8,8.5,6.7,8.5,144,322,1.1,2.0,0.32,1.42,130,3300,330,11000
ASSAM,22.0,28.0,5.0,7.3,7.0,7.4,120,146,2.0,2.5,0.6,1.4,300,910,730,2000
MAHARASHTRA,19.0,23.0,5.4,6.2,7.7,8.8,722,1390,3.2,4.2,0.3,3.22,20,47,170,430
ARUNACHAL PRADESH,20.0,28.1,7.6,9.8,7.4,9.3,98,1579,1.0,1.0,0.0,0.0,9,34,44,165
JHARKHAND,15.0,37.0,5.7,7.2,7.4,7.7,102,134,1.1,1.4,0.0,0.0,588,1154,1260,2080
BIHAR,10.0,32.0,7.5,8.9,7.3,8.2,166,394,1.0,2.8,0.3,0.3,130,35000,230,54000
ODISHA,19.0,32.0,7.6,8.4,6.8,8.5,125,795,1.3,1.7,0.32,1.2,45,1300,170,3300
MADHYA PRADESH,15.0,26.0,5.9,10.5,7.3,8.4,274,413,1.0,2.3,1.85,11.8,2,94,120,430
UTTAR PRADESH,24.0,29.5,7.4,8.6,8.0,8.4,315,478,2.4,3.3,0.52,1.2,700,1700,1100,2400
PUNJAB,16.0,31.0,0.3,0.3,6.7,7.7,849,1309,35.0,79.0,0.82,5.0,63000,460000,210000,700000
KARNATAKA,18.0,21.0,5.0,11.7,8.1,8.7,758,1748,1.0,4.6,3.48,38.24,350,920,1600,1600
TAMIL NADU,26.0,35.0,5.6,7.3,7.6,8.3,531,1085,1.0,2.8,0.32,0.75,2,21,8,47
HIMACHAL PRADESH,6.8,10.6,7.9,9.3,7.3,7.9,35,105,1.0,1.0,0.32,1.31,2,20,7,920
BIHAR,17.0,32.0,7.0,9.0,7.1,8.3,247,646,1.0,2.1,0.3,0.34,2200,54000,3300,92000
BIHAR,13.0,34.0,6.7,10.0,7.4,8.3,229,413,1.0,3.0,0.3,0.3,3300,92000,7000,160000
JHARKHAND,16.5,36.0,6.5,8.4,6.9,8.3,214,462,1.3,4.1,0.0,0.0,1280,34525,2125,58288
UTTAR PRADESH,17.1,36.4,4.9,6.5,7.4,7.8,434,2418,7.2,18.8,0.0,0.0,4900,40000,14000,94000
HIMACHAL PRADESH,7.5,14.0,8.6,9.3,6.5,8.2,117,447,1.0,1.0,0.32,3.95,4,26,17,1600
CHHATTISGARH,24.7,26.3,7.6,8.2,7.2,7.5,141,1565,1.0,1.0,0.44,0.82,2,4,2,22
ODISHA,22.0,32.0,5.0,8.3,6.8,8.5,123,220,1.1,1.8,0.32,1.31,330,2300,1700,4900
SIKKIM,12.0,21.0,7.3,8.4,6.8,7.5,112,172,1.9,2.5,1.9,4.6,22,97,27,155
KARNATAKA,24.0,32.0,6.5,11.6,7.7,8.8,880,1295,2.0,4.0,0.51,67.0,140,23000,1100,350000
ODISHA,21.0,23.0,6.0,8.9,6.6,8.1,110,325,1.1,1.6,0.32,1.33,78,1700,330,3300
KARNATAKA,25.0,29.0,6.9,7.4,7.1,8.5,96,360,1.2,3.0,0.3,1.53,11,130,220,1600
MIZORAM,14.0,27.0,5.1,7.2,6.5,7.1,30,128,1.0,1.5,0.02,1.43,29,113,95,356
UTTARAKHAND,17.9,26.3,7.1,9.9,7.2,8.5,146,648,1.0,2.6,0.34,1.49,32,94,70,210
HIMACHAL PRADESH,11.0,25.0,3.0,6.9,7.6,8.2,360,1913,1.0,16.0,1.48,14.24,7,1600,39,1600
MADHYA PRADESH,21.1,24.3,6.8,8.0,7.2,7.9,271,661,1.2,1.9,0.23,1.3,2,6,17,49
MADHYA PRADESH,19.5,21.5,7.0,7.8,7.7,8.4,222,313,1.0,1.1,0.7,1.22,2,2,32,47
JAMMU & KASHMIR,5.6,22.0,7.3,11.5,7.1,8.4,81,185,1.0,2.9,0.0,0.0,454,4478,1077,18431
MEGHALAYA,14.0,19.0,7.3,8.8,6.8,7.2,30,39,1.0,1.1,0.32,0.41,2,2,24,64
MADHYA PRADESH,21.6,30.9,6.5,7.6,7.5,8.3,269,388,1.4,2.0,0.53,1.15,2,2,43,49
ODISHA,23.0,29.0,7.3,9.9,7.2,8.5,156,362,1.1,1.6,0.32,0.69,13,1300,49,2400
MAHARASHTRA,25.0,33.5,4.9,6.4,7.3,8.3,174,887,3.0,5.2,0.3,1.83,8,40,95,425
HIMACHAL PRADESH,8.0,20.0,8.1,9.2,7.4,8.2,158,264,1.0,1.0,0.73,2.87,2,68,170,5400
MADHYA PRADESH,13.0,28.0,3.9,11.6,7.5,8.2,219,912,1.1,10.4,4.31,16.81,6,120,170,430
ODISHA,22.0,28.0,6.8,9.0,7.1,8.2,136,187,1.1,2.4,0.32,0.67,130,1300,490,2800
BIHAR,12.0,34.0,7.0,9.9,7.1,8.3,226,440,1.0,2.8,0.3,0.3,1700,92000,3300,160000
MADHYA PRADESH,23.0,29.0,7.0,7.6,7.3,7.9,206,639,1.8,2.0,0.32,1.0,2,4,43,58
TAMIL NADU,28.0,37.0,5.7,6.7,7.8,8.8,341,947,1.0,2.7,0.32,0.89,11,22,21,49
TAMIL NADU,24.0,34.0,5.2,6.5,7.7,8.6,819,37450,2.1,16.0,0.0,1.79,9,26,17,140
TELANGANA,16.0,28.0,6.2,7.3,7.1,8.3,592,1195,2.2,4.0,9.16,41.13,4,6,18,84
PUNJAB,11.0,34.0,7.4,8.9,7.5,8.3,218,295,1.0,1.2,0.5,1.1,31,140,120,330
TAMIL NADU,28.0,32.0,0.3,4.4,6.6,7.1,610,2310,5.5,131.0,0.32,15.0,81,340,490,2100
UTTARAKHAND,14.0,17.0,10.2,10.8,7.4,8.2,58,122,1.0,1.0,0.32,0.33,2,2,2,4
RAJASTHAN,18.0,33.0,5.3,6.8,7.9,8.5,339,481,1.0,1.3,0.62,1.22,26,49,46,120
WEST BENGAL,21.0,34.0,7.6,8.7,6.8,7.9,172,625,2.1,2.9,0.3,2.91,1700,3200,2100,4000
WEST BENGAL,20.0,38.0,1.0,3.5,6.8,8.3,328,769,1.7,10.5,0.3,0.49,3500,35000,7900,79000
UTTARAKHAND,13.0,24.0,9.0,10.6,7.2,8.4,84,265,1.0,1.0,0.32,0.43,31,48,39,49
BIHAR,20.0,31.0,4.4,9.6,7.1,7.8,177,392,1.4,3.0,0.3,0.3,1700,92000,2100,160000
ODISHA,23.0,30.0,5.4,8.4,6.7,7.9,100,198,1.1,1.5,0.32,0.57,78,1300,490,4900
MAHARASHTRA,20.0,28.0,2.3,6.4,7.3,7.9,239,545,3.0,8.0,0.61,4.1,4,63,48,68
HIMACHAL PRADESH,16.0,24.0,6.4,8.4,7.7,8.4,301,550,1.2,3.5,0.0,0.92,46,350,280,920
WEST BENGAL,20.0,31.0,6.1,8.1,7.2,7.9,62,134,1.0,2.8,0.3,0.38,2200,17000,11000,50000
MIZORAM,19.0,24.0,4.0,8.0,6.5,8.4,149,405,1.0,1.3,0.02,1.46,3,240,1100,2400
HIMACHAL PRADESH,17.0,33.4,6.9,8.0,7.4,8.3,344,517,1.0,3.0,0.32,5.94,2,6,14,170
MAHARASHTRA,28.0,28.0,5.9,7.2,7.7,7.7,181,502,3.0,3.4,0.59,0.6,4,6,45,68
MEGHALAYA,14.0,20.0,6.8,8.9,6.5,6.8,62,89,1.0,1.8,0.32,0.47,2,21,120,170
DELHI,18.5,27.7,0.3,3.0,7.1,7.5,311,1273,22.0,46.0,0.0,0.0,5500,100000,17000,17000
MAHARASHTRA,20.0,28.0,4.8,7.2,7.2,7.9,308,3317,3.0,4.2,0.61,3.19,4,48,40,58
JAMMU & KASHMIR,5.0,23.4,6.0,10.8,7.3,8.2,153,354,1.6,3.2,0.0,0.0,1615,32350,5270,33360
UTTAR PRADESH,14.0,21.0,0.3,0.3,7.5,7.7,480,940,32.0,56.0,22.0,32.0,63000,130000,94000,170000
UTTAR PRADESH,18.6,37.9,6.2,7.4,7.5,7.8,407,2532,6.4,16.0,0.0,0.0,4100,27000,13000,70000
PUNJAB,12.0,30.0,0.3,2.1,7.2,7.8,505,1250,17.0,105.0,1.1,8.0,79000,2200000,220000,7900000
MADHYA PRADESH,20.0,22.0,7.0,7.8,7.1,8.4,274,603,1.0,1.4,0.8,1.59,2,2,40,49
ODISHA,23.6,33.1,5.5,8.6,7.3,8.4,140,371,1.1,1.5,0.32,0.6,220,2300,700,4900
HIMACHAL PRADESH,7.0,12.0,8.8,9.3,7.8,8.4,121,460,1.0,1.0,0.32,1.39,2,27,8,540
JHARKHAND,26.5,30.0,7.2,7.6,7.2,7.5,308,1256,1.3,2.6,0.0,0.0,3990,70795,6708,367459
TELANGANA,26.0,30.0,5.4,6.2,7.0,8.4,225,517,1.0,2.2,0.3,3.2,2,2,20,58
JAMMU & KASHMIR,17.0,26.0,6.5,7.2,7.9,8.5,156,360,1.0,1.0,0.0,0.32,110,850,500,1500
SIKKIM,15.0,24.0,7.8,8.4,6.9,7.3,51,89,1.8,2.2,2.0,4.5,30,84,63,125
MAHARASHTRA,20.0,28.0,3.8,6.8,6.8,8.0,272,588,3.0,4.2,0.59,4.1,4,47,46,115
UTTAR PRADESH,14.0,30.0,5.9,11.2,8.0,8.5,256,589,3.8,5.6,0.0,0.0,4300,6300,7500,13000
KARNATAKA,19.0,28.0,6.3,7.3,7.9,8.7,218,480,1.0,3.0,0.84,2.7,61,110,630,1200
ODISHA,22.0,31.0,7.0,8.6,7.1,8.3,202,388,1.3,3.9,0.32,1.12,1300,92000,4900,160000
MADHYA PRADESH,21.1,24.6,7.5,7.7,7.2,7.8,267,394,1.2,1.6,0.12,3.95,2,23,32,93
TELANGANA,25.0,29.0,0.3,3.0,6.8,7.9,384,1526,2.2,14.0,2.08,8.2,4,350,280,920
JHARKHAND,18.4,32.0,7.1,9.4,7.0,7.6,222,343,1.0,2.4,0.0,0.0,3221,55201,5374,96017
BIHAR,10.0,30.0,7.5,8.9,7.4,8.1,137,341,1.0,2.1,0.3,0.3,1100,28000,1700,35000
JAMMU & KASHMIR,3.5,16.0,7.2,10.9,7.6,8.3,143,340,1.0,2.0,0.0,0.0,432,227360,800,5608912
ODISHA,23.0,30.0,6.0,8.0,7.1,8.1,180,239,1.2,1.9,0.32,0.74,170,7900,1100,24000
GUJARAT,28.0,32.0,0.3,4.8,7.2,8.0,889,3060,8.0,31.0,0.33,1.08,1600,1600,1600,1600
ANDHRA PRADESH,20.0,28.0,5.3,6.2,6.9,8.2,531,1714,1.0,2.0,0.35,0.94,102,303,549,1046
MADHYA PRADESH,18.6,31.1,7.0,7.6,7.8,8.0,208,326,1.0,1.8,0.45,0.83,2,18,43,49
BIHAR,16.0,28.0,7.6,8.8,7.2,8.2,137,268,1.0,2.0,0.3,0.3,330,17000,490,28000
MADHYA PRADESH,21.0,29.0,7.0,7.5,7.6,7.9,270,390,1.6,2.0,0.32,1.01,2,2,46,48
UTTAR PRADESH,17.0,28.0,4.9,7.1,7.4,7.8,659,848,2.6,5.2,0.0,0.0,9300,23000,17000,79000
ASSAM,19.0,32.0,5.4,8.9,7.2,7.9,132,214,2.1,2.6,0.6,1.8,360,1100,910,2700
RAJASTHAN,21.0,32.0,4.7,6.3,8.1,8.8,309,873,1.0,2.5,0.82,2.72,63,170,140,350
ODISHA,26.0,30.0,7.5,7.6,7.0,7.0,102,110,1.0,1.0,0.32,0.32,1300,1300,2200,2200
MAHARASHTRA,23.0,27.0,3.1,5.9,7.4,8.3,891,1989,3.0,5.8,0.32,9.43,12,48,120,210
UTTAR PRADESH,18.5,27.7,0.3,5.4,7.4,7.7,517,1878,14.0,94.0,0.33,2.66,7800,14000000,23000,21000000
ANDHRA PRADESH,22.0,25.0,6.9,7.7,7.3,8.1,664,882,2.3,2.9,1.05,1.65,7,39,75,460
KERALA,23.0,30.0,7.1,8.3,7.6,8.1,80,240,1.0,2.4,0.3,0.46,2,400,100,800
MAHARASHTRA,27.5,29.0,2.7,4.1,6.9,7.8,433,568,21.0,29.0,0.3,3.05,20,350,900,1800
ODISHA,20.0,33.0,6.6,8.5,7.1,8.1,180,340,1.3,2.6,0.32,0.84,1300,92000,3300,160000
MADHYA PRADESH,14.0,26.0,5.8,11.0,7.3,8.5,188,362,1.0,2.4,1.4,5.97,2,34,130,280
UTTAR PRADESH,14.0,30.0,6.0,10.4,7.7,8.5,266,630,3.4,4.9,0.0,0.0,2100,7900,3400,13000
ODISHA,21.0,24.0,6.4,8.7,6.5,8.4,131,186,1.1,1.9,0.32,1.2,110,2200,490,9400
WEST BENGAL,20.0,34.0,5.0,7.8,6.8,7.9,222,483,2.4,3.6,0.35,1.56,31000,79000,70000,140000
MADHYA PRADESH,23.0,28.0,5.7,7.2,7.2,8.2,512,1696,4.5,12.0,1.22,2.49,14,1600,920,1600
TAMIL NADU,26.0,33.0,5.7,6.5,6.9,8.5,434,966,1.0,2.7,0.32,1.03,7,22,17,47
ANDHRA PRADESH,25.0,27.0,6.7,7.5,6.3,8.3,180,361,1.8,2.4,0.3,2.64,3,11,75,210
WEST BENGAL,15.0,36.0,5.2,9.9,7.1,8.4,232,444,1.4,2.9,0.32,0.83,3500,49000,13000,79000
MADHYA PRADESH,18.5,29.8,6.8,7.1,7.7,8.2,323,702,1.3,1.8,0.68,1.17,2,2,43,58
HIMACHAL PRADESH,6.0,18.0,7.6,9.3,7.5,8.3,208,446,1.0,1.0,0.32,5.25,2,11,12,220
GUJARAT,18.0,32.0,7.0,7.7,6.9,8.5,337,600,1.0,2.0,0.3,0.52,2,4,4,17
JAMMU & KASHMIR,4.0,18.8,7.5,10.8,7.5,8.2,156,359,1.0,2.6,0.0,0.0,1834,50748,930,33360
BIHAR,16.0,34.0,6.9,8.4,7.4,8.0,105,232,1.3,2.5,0.3,0.3,130,17000,220,54000
BIHAR,18.0,33.0,6.8,9.1,7.2,8.0,198,447,1.0,2.8,0.3,0.3,1300,92000,2300,160000
ODISHA,20.0,32.0,4.8,9.1,6.9,8.2,138,360,1.1,2.1,0.32,0.64,78,1700,330,2800
KARNATAKA,17.0,27.0,6.2,7.7,7.3,8.6,66,326,1.0,3.0,0.32,1.8,32,68,240,700
