iter	Passed	Remaining
610	1213	772
611	1215	770
612	1217	768
613	1219	766
614	1220	764
615	1222	762
616	1224	759
617	1225	757
618	1227	755
619	1228	753
620	1230	750
621	1231	748
622	1234	746
623	1235	744
624	1237	742
625	1239	740
626	1240	738
627	1242	736
628	1244	733
629	1245	731
630	1247	729
631	1249	727
632	1251	725
633	1253	723
634	1254	721
635	1256	719
636	1258	716
637	1259	714
638	1261	712
639	1263	710
640	1265	708
641	1267	706
642	1268	704
643	1270	702
644	1271	700
645	1273	697
646	1275	695
647	1277	693
648	1278	691
649	1280	689
650	1282	687
651	1284	685
652	1286	683
653	1288	681
654	1289	679
655	1291	677
656	1293	675
657	1294	672
658	1296	670
659	1298	668
660	1300	666
661	1301	664
662	1303	662
663	1304	660
664	1306	658
665	1308	656
666	1310	654
667	1311	651
668	1314	650
669	1315	648
670	1317	645
671	1319	643
672	1320	641
673	1322	639
674	1323	637
675	1325	635
676	1327	633
677	1329	631
678	1331	629
679	1332	627
680	1334	625
681	1336	623
682	1337	620
683	1339	618
684	1340	616
685	1342	614
686	1344	612
687	1346	610
688	1348	608
689	1349	606
690	1351	604
691	1353	602
692	1355	600
693	1356	598
694	1358	596
695	1360	594
696	1362	592
697	1363	590
698	1365	588
699	1367	586
700	1368	583
701	1370	581
702	1372	579
703	1373	577
704	1375	575
705	1377	573
706	1379	571
707	1381	569
708	1383	567
709	1384	565
710	1386	563
711	1388	561
712	1389	559
713	1391	557
714	1393	555
715	1394	553
716	1396	551
717	1398	549
718	1399	547
719	1401	545
720	1403	543
721	1404	540
722	1406	538
723	1408	536
724	1410	534
725	1412	532
726	1413	530
727	1415	528
728	1417	526
729	1418	524
730	1420	522
731	1422	520
732	1424	518
733	1426	516
734	1427	514
735	1429	512
736	1431	510
737	1432	508
738	1434	506
739	1436	504
740	1437	502
741	1439	500
742	1441	498
743	1443	496
744	1444	494
745	1446	492
746	1448	490
747	1449	488
748	1451	486
749	1453	484
750	1454	482
751	1456	480
752	1458	478
753	1460	476
754	1461	474
755	1464	472
756	1466	470
757	1467	468
758	1469	466
759	1471	464
